ano,inadequacao,estado,contagem,valor_percentual
2019,Domicílios inadequados,Pernambuco,2133,79.68
2019,Domicílios inadequados,Rio Grande do Norte,629,70.46
2019,Domicílios inadequados,Maranhão,950,68.74
2019,Domicílios inadequados,Paraíba,662,66.23
2019,Domicílios inadequados,Alagoas,512,59.8
