ano,inadequação,região,contagem,valor_percentual
2016,Inadequação fundiária,Nordeste,606.022,4.59
2017,Inadequação fundiária,Nordeste,747.768,5.58
2018,Inadequação fundiária,Nordeste,688.126,5.09
2019,Inadequação fundiária,Nordeste,802.400,5.73
