ano,inadequação,região,contagem,valor_percentual
2016,piso inadequado,Nordeste,39.98,0.3
2017,piso inadequado,Nordeste,30.225,0.23
2018,piso inadequado,Nordeste,39.884,0.3
2019,piso inadequado,Nordeste,29.342,0.21
