ano,inadequação,região,contagem,valor_percentual
2016,Coleta de lixo,Nordeste,469.578,3.56
2017,Coleta de lixo,Nordeste,375.891,2.81
2018,Coleta de lixo,Nordeste,307.574,2.28
2019,Coleta de lixo,Nordeste,317.943,2.27
