ano,inadequação,região,contagem,valor_percentual
2016,Abastecimento de água,Nordeste,5.076.641,38.43
2017,Abastecimento de água,Nordeste,5.239.983,39.13
2018,Abastecimento de água,Nordeste,4.895.094,36.23
2019,Abastecimento de água,Nordeste,5.138.189,36.71
