ano,inadequação,região,contagem,valor_percentual
2016,Esgotamento,Nordeste,1.913.255,14.48
2017,Esgotamento,Nordeste,1.914.982,14.3
2018,Esgotamento,Nordeste,1.998.763,14.79
2019,Esgotamento,Nordeste,2.074.311,14.82
